225 contests
rank	name	rating	participations
232	noxe	2509.6207458379404	9
233	scut_dell	2509.570012078026	46
234	rickytheta	2509.3967407182963	7
235	ttzztztz	2505.8913067686817	45
236	aruba1	2505.566004857037	51
237	jiangyanerpang	2504.8261858392466	30
238	fanzhh	2504.2223455845774	73
239	zipei2124	2503.8815530353227	28
240	QingqingXii0iii	2503.8275685101125	33
241	pmnoxx	2500.996299046978	9
242	jun__	2495.4440986341397	46
243	Windsfantasy6	2493.7675062709964	15
244	nagabhushan	2492.3043577297944	20
245	daltao	2491.6739347551907	34
246	pze168	2491.176158783784	64
247	bragcat	2489.37397441798	34
248	bigelephant29	2489.215294618865	17
249	SoulOfCinder	2489.1540859928823	9
250	zscnash	2489.0386435155597	16
251	Aging	2488.0473826923917	119
252	HanaYukii	2487.179261052805	23
253	joshualian1989	2485.9113422686387	102
254	ac130h	2485.5604538797847	28
255	asdf3332	2484.6066390454525	16
256	wangshengyu	2483.1779912892575	14
257	cathy009	2482.480898495689	109
258	hwhuige	2482.3182850951976	17
259	JohnsonTau	2480.251349980194	54
260	qb_2008	2479.998487913496	63
261	NerdyCoder	2479.852855106494	133
262	qodjf	2479.7768820465203	11
263	love-algrithm	2478.6624069317895	54
264	Jesko	2478.4681616712764	101
265	anorange0409	2477.609086358141	31
266	gyosh	2476.98262727095	6
267	tommyjiang	2476.4674151884997	81
268	eireverie	2476.3018428919677	37
269	jiah	2474.6804761377552	119
270	swordfeng	2473.5999608054485	10
271	tonyli0000	2473.1031169098505	123
272	benmirt	2472.7731444163883	8
273	Laurant	2472.032140644591	13
274	sepehry	2471.2367781455005	69
275	zhuynan	2471.1215418284933	29
276	Mrsuyi	2471.018357835632	54
277	ko19951231	2469.85924976817	30
278	2499370956	2467.0838631207607	144
279	saarixx	2466.2441600060774	50
280	2997ms	2465.244979249655	85
281	ezoixx130	2464.7012527000834	15
282	inszva-2	2464.6415272577988	14
283	liang5	2464.3780016315395	13
284	zxyl	2464.356449846592	6
285	sevenlol	2464.0648931949054	45
286	pminkov	2463.2932852341196	24
287	nyaruko	2462.6863386723107	56
288	wjasonhuang	2462.654543345293	43
289	marco12	2462.1825451031327	5
290	harttle	2462.0075449199953	96
291	simpleson	2461.4037424642797	39
292	tutousi	2460.8355293499867	14
293	wangyurzee7	2460.3506583454355	5
294	danieldumitran	2459.62947288204	42
295	747929791	2459.466498793551	7
296	TheStrayCat	2459.305421203991	32
297	mopriestt	2458.8069466602483	26
298	beginner1010	2458.0987034458158	25
299	x372p	2457.5397333227706	84
300	sas4eka	2457.440269727704	8
301	steiner	2457.3864313006197	14
302	ghostplant	2455.7016819924356	45
303	kangbb	2455.476903993591	107
304	SleepyBag	2454.751685767686	35
305	SlavaSSU	2453.922824089252	28
306	basasuya	2453.139245950251	37
307	zhoubowei	2452.259671104572	23
308	AndreZWei	2451.4894380590868	64
309	wifiii	2451.381103327826	44
310	yu_dongfeng	2450.507876649459	19
311	Phoenix1369	2450.195805350286	61
312	flyman3046	2449.537341584759	94
313	roll_no_1	2449.005625800061	17
314	FighterNan	2448.7367192773777	106
315	betot43863	2448.638879402152	26
316	voidmaina	2448.0853624001393	21
317	leoknuth	2447.0660080355315	99
318	xaviercai1996	2446.7318831131547	36
319	huntersjm	2446.600233180506	57
320	rockstar	2446.3603470815387	62
321	leetcodedocteel	2446.104130213442	60
322	fmota	2445.956689572033	12
323	perfectpan	2445.8273416356974	60
324	w285714	2445.638266944206	18
325	ZYCSwing	2445.0377333759693	147
326	raymond_gnu	2444.08210934982	52
327	jeremyzhang96	2443.5641652298323	31
328	Hewitt_1570	2443.4850403376204	63
329	MAO1112	2442.402204430413	51
330	Sun_WuKong	2440.9427040292876	56
331	bobogei81123	2439.4602264381115	6
332	Minori	2439.115415174095	19
333	pedrohlf	2438.072517289099	9
334	piyifan	2436.630795237243	9
335	hongda-jiang	2436.600005147775	16
336	lxy-tql	2436.5831650909477	10
337	aropan	2436.0278864392426	8
338	smartjinyu	2435.5967235439966	22
339	solanata	2433.5439738239543	19
340	txingml	2433.2161677948834	119
341	lihuoran	2429.2992715013274	52
342	hirokazu1020	2428.6022548615683	45
343	WilsonWang	2427.6922748364996	59
344	zdai	2426.642500806825	28
345	HenryLee4	2426.541262495311	37
346	yokattame	2426.3578514995215	20
347	krists	2426.231433453459	26
348	wangxlsb	2423.9011769527942	43
349	dumb_ass	2423.8497352720415	9
350	bpdolson	2421.690033605662	9
351	yogahmad	2421.4074018278293	5
352	yumeno-ukihashi	2421.289191581309	5
353	czhangaegean	2420.83505246318	72
354	yongwhan	2420.8286009473263	38
355	magica	2420.028074158955	17
356	Blind_Lockhart	2419.712641198847	15
357	Socyrus	2419.4755706575447	12
358	hamlet_fiis	2418.510879256667	120
359	YupengGu	2418.191076163527	27
360	Gaaakki	2417.151930136811	52
361	Mike_Chen	2416.910961493361	65
362	zhujiale2	2415.605089958357	21
363	Xingdong_Cao	2415.367929231454	45
364	liuyubobobo	2414.999143676587	133
365	yu1419	2414.9149140550753	21
366	YuhanWu	2414.759304038505	52
367	physics0523	2414.2376228776448	16
368	xqxqxq	2413.8357287764684	33
369	0w1	2413.6548750122374	15
370	magila	2413.648118828315	11
371	SSigurd	2412.6780953131074	22
372	dqdt	2412.333086078912	47
373	SilverNarcissus	2411.9795841405603	96
374	xuchengwen	2411.840587970338	90
375	vivek_shah98	2411.7358262581934	38
376	cf_newbie	2411.666605992083	58
377	A_Pinterest_Employee	2411.1139118091596	99
378	Tatami	2410.9211273063916	36
379	Captain_Mushroom	2410.7346210737996	36
380	aging	2410.565504478121	15
381	hsiu	2410.5256698053017	28
382	xin49	2410.4190284394813	16
383	yuanzwan	2410.296788704931	45
384	big-time	2409.501349362327	39
385	hancuizeaux	2409.267522550878	45
386	Sirius	2408.9176379015607	43
387	zizhong	2407.351929794954	25
388	honghongdepengpeng	2407.264367713537	23
389	raynor30	2406.938090720868	33
390	prakhar15	2406.1129492191417	47
391	nagato1208	2404.9234898600644	71
392	Sakuzyo	2404.9100264669537	13
393	watashi	2403.955359115369	6
394	tianyichen	2403.807511572906	17
395	y0105w49	2403.5288343137063	7
396	tdteach	2403.0455456318805	24
397	donnod	2402.4575273692967	57
398	hack_u	2402.359560580913	97
399	zl1zl	2402.343620869947	80
400	pk301	2401.5305245077134	15
401	chenhao4	2401.166784120528	16
402	blacksea3	2400.6930624016127	42
403	groawr	2400.6159694521284	26
404	xitongsys	2400.4767622671056	21
405	abhishekvanjani	2400.4554068240113	17
406	Aragog	2400.4131574647377	89
407	suibianfahui	2400.233283201585	36
408	joy32812	2400.2146592486483	65
409	cthbst	2400.178147445946	24
410	ChaouS	2399.933796658756	21
411	wangzi6147	2398.587686928985	40
412	arignote	2398.1653083759693	7
413	linsinn	2397.638202747363	55
414	lee0560	2397.5098939561176	54
415	supersri04	2397.303273855911	18
416	wechat_cph	2396.8167025185016	52
417	karutz	2396.354158750077	26
418	Yoshikage1202358	2395.9862628045753	9
419	gongtiansu	2395.556634740421	7
420	gofb	2395.3970477356074	11
421	Spinaria_	2395.0924595092283	8
422	Firepaw	2394.6590466461516	23
423	shshwdr	2394.448286645883	56
424	muhandae	2393.385061268997	10
425	jl0x61	2393.185595321899	18
426	wengames	2392.8312511268664	88
427	dotuas	2392.4316935926113	114
428	5305519068	2391.80563309512	68
429	PizzaLovers007	2391.3063815598016	25
430	EAirPeter	2389.8488962858974	11
431	anhpp	2389.1060366282672	73
432	yuanzhi247012	2389.0528125232845	74
433	derekhh	2388.750504664821	16
434	lostleaf	2388.4843894119817	28
435	wuchaohaohai	2388.300806253589	51
436	cloudstrife0142	2386.47033437146	23
437	terranw	2386.2592784068925	18
438	necoramen	2386.2074322130075	22
439	_Vlad_	2385.1813148297274	13
440	nate17	2383.549390783276	59
441	Chatillon-25T	2383.40257150819	29
442	tsccsj	2383.188000513064	42
443	lu-you-guan-guang	2383.1879772151347	8
444	songrenchu	2382.6117932810835	27
445	riantkb	2382.565712970164	6
446	DevidXu	2382.471079495996	29
447	botao2018	2381.8804839392255	70
448	dancooper	2381.862912658205	48
449	thread_start	2381.020427191599	91
450	yge2	2380.4063822647267	19
451	kasperyhr	2380.2232907431376	28
452	ViktoriiaKovalova	2380.045195885132	10
453	Grave_Me_Gray_For_You	2379.0144610164803	24
454	bigmiaomiao	2378.631216484643	66
455	caigogo	2378.526760752101	15
456	william5	2378.0084489647975	19
457	spnautilus	2377.6733091205897	12
458	dumb_lvlv	2377.577365455867	17
459	unicorn2014	2375.9326944532036	42
460	shiautsung	2375.7632055180466	57
461	fuppy	2375.563560858553	7
462	xingyuwang	2375.100321938769	14
463	tckwok0	2375.0275521549493	12
464	shuhu	2374.032134080004	43
465	arjitkansal	2373.807454462409	18
466	pernekhan	2373.1458329322786	56
467	XuhuiWang	2372.8257613502865	103
468	necroramen	2372.2866100636224	22
469	ZhihanYao	2371.8847284640287	14
470	lichunzhu	2371.6710501950506	53
471	wengzhe	2371.566332680299	13
472	kevin_yao	2371.0885752337863	48
473	chuan-chih	2371.0688939546258	73
474	frostfrog	2370.6977099489163	108
475	merryl	2369.3929308907245	68
476	hansen111	2368.501189835946	42
477	wsyzmmx	2368.261491684358	7
478	rongzhihao	2367.868853856989	41
479	llcDK	2367.3862461150716	21
480	nthistle	2367.380884476006	6
481	habaj	2366.93856592064	19
482	bupt_wc	2365.68458862209	69
483	harshranjan069	2364.8719452030136	27
484	qzane	2364.8328275720137	28
485	moririn2528	2364.4341495932385	14
486	YoungForest	2364.3309009670943	69
487	Carno	2364.169672887449	31
488	flyingpenguin	2363.8933340346134	45
489	Nightbolt	2363.2617125257498	31
490	Wenwen326	2363.0365623259454	26
491	yamunaku	2362.7713044669276	9
492	mcy4ever	2362.079013847862	19
493	ralf_tianyi	2361.808171806968	77
494	ttjtftx	2360.9973729096982	34
495	bluedawnstar	2360.52791767504	46
496	cjoa	2359.979015975636	56
497	mchandy36	2359.6049078021188	23
498	XuenanGuo	2359.466725797974	47
499	yijiezhu	2358.9570578278053	26
500	drd93	2358.646419001123	14
501	popopo	2357.6555521448636	43
502	janwei	2357.392619447852	44
503	kafuu-chino	2357.373483765711	16
504	zenan	2357.295152287987	55
505	tanakat01	2357.2712373032045	18
506	awaracoder	2357.045082700976	24
507	zesen	2356.931958692493	7
508	tungmai	2356.8767148447946	25
509	xpycc	2356.4046772599	28
510	ericzhang98	2356.2253207721515	34
511	supernanren	2355.6704153733	20
512	deltacancri	2355.1917518249056	45
513	gemingshangweichenggong	2354.362944143242	31
514	lee215	2354.2056050816404	26
515	yiqunoy	2353.8503725639016	33
516	sssworld	2353.5192673171096	23
517	mintrush	2353.1179322425273	28
518	AmekiKyou	2352.607959638418	13
519	Rayleigh0328	2350.6757754612217	45
520	pazzle1230	2350.476654035656	8
521	sztly	2350.4535984899694	16
522	chemikadze	2350.1190520532687	26
523	RwbTw7VcSkaFETGr	2349.7060377883695	18
524	billydou	2349.6879075558672	19
525	RedMoon	2349.315299587746	38
526	Chris_T	2348.7326461999187	4
527	xi-jun-xiao-zi	2348.5724984554195	30
528	shdut	2348.0977136518486	68
529	SiyC	2347.9255035736405	71
530	pcwangdx	2347.5879001743115	19
531	alreadydone	2346.9304950329083	26
532	haitao7	2345.9293252603948	60
533	ulyssesz	2344.6985110598785	48
534	lpang36	2344.6793854540065	27
535	eterxroc	2344.2439701321864	69
536	fukuzawa_yumi	2343.7774172175664	27
537	charliemeng	2343.6534867791593	109
538	xn1990114	2343.2545229480447	124
539	mesh_shubham	2343.026770566486	25
540	csferng	2342.7872738980222	9
541	leonxpray	2342.621781563564	59
542	jt3698	2342.344211588061	11
543	ryanwang	2342.185820003798	51
544	cnbyb	2341.801952686137	19
545	galiniunan	2341.7309870209147	104
546	wangsenyuan	2341.3398730655	73
547	jariasf	2341.083748966194	178
548	LiQuanlai	2340.514015953139	41
549	tomarint	2340.2733688149747	42
550	superj	2340.132148889229	80
551	delphih	2340.0516739686846	27
552	everything_now	2339.6283141885247	20
553	evan_hossain	2339.597751456583	39
554	xieyijian1997	2339.436096875112	7
555	pkucoin	2338.672357470293	162
556	mhaghpanah	2338.6528222954794	56
557	sg060723	2337.8235779053293	17
558	all_too_well	2337.4751150236657	36
559	liuyuchen0921	2336.601362816475	14
560	shiwt	2336.263183733806	16
561	xhcqup	2334.8454526060273	53
562	anthonyhkf	2334.823911909908	17
563	raft	2334.2832214822806	25
564	gewuer1987	2334.0516847216	74
565	ychzhou	2333.3921128263078	7
566	gantheory	2333.348751843953	17
567	syllcs	2333.2399495077425	26
568	hzx-12	2333.112096780409	19
569	dskloet	2333.0491077996007	11
570	zwliew	2332.723288785383	23
571	yanrcheng2	2332.5511530999133	55
572	mintyc	2332.1534373770633	35
573	Aircy	2331.5828780738043	58
574	Time-Limit	2330.663769335112	25
575	stormsunshine	2330.495871196927	132
576	yafithekid	2330.3437850324394	19
577	RogerWWW	2330.2731607406545	36
578	huanglanzhiguan	2329.8012910044317	45
579	hac	2329.736816954415	29
580	alexym	2329.6090304857244	50
581	dettier	2328.7833144732194	41
582	st0rm23	2328.639524898187	17
583	Sakamono	2328.480430669602	108
584	wrangle1005	2328.356058054216	35
585	njzwj2007	2327.3742349402155	9
586	guoheng1101	2326.701903284644	41
587	loftnova	2326.613312017703	26
588	kliu4	2326.281440826295	17
589	yaoct	2325.893987143164	22
590	2wsx2wsx2wsx	2325.2829560851123	51
591	Yao_Yin	2324.8468422465885	29
592	yuanzhendai	2324.682974075686	59
593	LbyoAo	2324.6216988333963	19
594	serdes	2324.4166763205203	16
595	DenisGubar	2324.236201129521	155
596	zxononame	2323.747036760144	7
597	sun-man-man	2323.6895121333146	64
598	jianfeng4	2323.026772435808	68
599	sshang0_0	2322.684917384164	10
600	democoffee	2322.4240458243144	103
601	bobalice	2322.373620147035	77
602	panpeng	2321.9568077018257	62
603	phoenix-13	2321.6233410353116	18
604	zhupeijun	2321.31580464067	41
605	hiehie	2320.982882464215	30
606	chuongk	2320.850351544172	28
607	Centurion7	2320.705682434047	115
608	agoodusername	2320.4366198430457	6
609	luo122174088	2320.0705670547923	15
610	blademamama	2319.9692404117795	54
611	penguinhacker	2319.747932300506	11
612	C0R3	2319.6507456499603	25
613	selim_pride	2319.468956199215	24
614	and1p1	2318.9273108299103	23
615	ChelseaChenC	2318.884805302279	27
616	daurenabd	2318.8802407751564	28
617	Chasey	2317.2102844210362	34
618	WindQAQ	2316.68941915412	25
619	mike51	2316.452935606424	37
620	zhichenggu	2316.4101931425007	49
621	ChenDanni	2315.410360847377	68
622	wyj20154348	2315.3406030051033	14
623	z-jo	2315.2257569134235	3
624	yrclamb	2315.167449550408	111
625	Eternal_Answer	2314.9556217903273	10
626	DylanSmith	2314.9002832847905	61
627	AdamTai	2313.8803824771635	166
628	neomao	2313.6775272909354	37
629	K_kkkyle	2313.062863752465	47
630	xuwd11	2312.9223609896326	112
631	dinica	2312.896933613552	7
632	immike	2312.749439163841	73
633	tuanpnm	2312.711171238147	57
634	TheRaven	2312.5884012624197	12
635	mshvets	2312.5340690350454	11
636	raomeng	2312.4215398561	13
637	guoyihua	2312.336813389875	60
638	danixigai	2312.1186899287536	30
639	VVCepheiA	2312.109125157197	4
640	dut200901102	2312.080110318939	27
641	Hughstudy	2311.845819454637	121
642	613	2311.5605289737387	4
643	yizhou_w	2311.1820840574574	24
644	andrew6	2310.440106115389	23
645	LuckyPants	2309.1693833039276	32
646	Parallelc	2309.160729426341	18
647	jaewonjo	2309.045742829789	69
648	biltharesatyendra	2308.8613650882653	82
649	littledva	2308.6286563248864	4
650	danielcy715	2308.5451657696435	37
651	wormtooth	2308.0128494128444	54
652	howeverforever	2307.469907217279	35
653	pnzhao	2307.1572012283864	50
654	LVL99	2307.042069886277	13
655	trsteel	2306.5601983519487	35
656	ihalbmond	2306.038075333668	6
657	Wizmann	2305.4882242971776	24
658	ShenTM	2305.334946894124	12
659	JerryJin2905	2305.3306997476657	22
660	zjj1149	2305.307608808007	39
661	mapleisle	2305.1214617926653	73
662	506140166	2305.10448228713	31
663	tpod31415926	2304.3447438123417	25
664	jthuang41	2303.832964467021	53
665	BirdJump	2303.82735240029	97
666	wqh2019	2303.676616051792	37
667	peterrockwave	2303.66782421636	28
668	nocilantro	2303.5586229465603	21
669	han-184	2303.5425040078812	11
670	alkjash876	2303.5320290881727	6
671	keyunjie96	2303.402351927995	18
672	zhangwei00	2303.276591537879	45
673	JenningsWG	2303.19916564855	28
674	lzl124631x	2302.6768384087113	63
675	sashulya	2302.6246670690807	10
676	alwinpeng	2302.551188883555	11
677	breaknow	2302.5261485047617	50
678	adayxiang	2301.8842729064872	65
679	aparichit	2301.871317889751	8
680	matyukevich	2301.1246709951442	53
681	mattrl	2301.010139142168	37
682	ddoudle	2300.933376299562	7
683	murkyautomata	2300.550934450944	24
684	dikra	2299.4986827406565	37
685	Informatimukas	2299.4837810595827	4
686	fengzlzl	2299.2367834916054	18
687	Altynai	2299.2227639619905	37
688	site1997	2299.183098035055	50
689	jonnymcgow7	2299.090346796716	14
690	Ar_pa	2297.5286848512487	10
691	osamamohamed	2297.4967984536324	15
692	xinfinity	2297.3738599103895	11
693	bethoven	2297.3152658131185	40
694	insomniacat	2296.747331608132	46
695	happybelly	2296.4579224293366	134
696	chlxyd	2296.023226110173	15
697	an8888ha	2295.963202254467	55
698	mline	2295.7722303769738	15
699	stonekyx	2295.7441480449356	28
700	chejianchao	2295.2063085508285	149
701	newhar	2294.8000300675126	18
702	vieta	2294.5164422258576	23
703	cjameszhang	2294.2308086314188	14
704	Hai_dee	2293.8672624350957	66
705	dogma	2293.8511306687838	42
706	xunrui	2293.506363364344	27
707	K-Yan	2292.6741710913216	21
708	luodajun100	2291.741825062845	17
709	zyxwvu164	2291.5641722040677	9
710	meladrama	2291.312186260357	9
711	alextxu	2291.101374313368	8
712	jacklv	2290.4931614495954	65
713	williamljb	2289.5737599789722	22
714	Elementt	2289.512551003752	16
715	foorest	2289.419940805861	5
716	narut	2289.2691858190274	35
717	nevergum	2289.027152790858	40
718	bernardosulzbach	2288.804907139558	36
719	yangmei555	2288.714362492452	52
720	jtjl	2288.412845604101	8
721	raychennju	2288.4114789390205	25
722	Neilhahaha	2288.012275470296	33
723	maximsch2	2287.934496166628	11
724	johnathan79717	2287.7005017719107	20
725	flowmemo	2287.4944668259973	48
726	Errichto	2287.3008586466312	4
727	MMMMMMoSky	2287.078862628655	18
728	leetcoder289	2286.8001163215813	32
729	codeworm96	2286.5601674479913	13
730	a4615aa4615a	2286.320901222895	7
731	zy07621	2285.828952353531	36
732	vmaksimo	2285.6425745457323	20
733	kelvinchandra1024	2285.527683700952	77
734	0am	2285.155649009494	7
735	YuranN	2284.7142179410357	34
736	rajdetroja	2284.6762755763443	11
737	hcchiu	2284.593548242069	19
738	zhongzh13	2283.990160801991	30
739	a248a	2283.455803961236	13
740	porker2008	2283.309241719213	15
741	Coup_De_Grace	2283.255525854257	30
742	houa	2283.1390659537137	40
743	Eser	2283.0318525447456	18
744	ddmike	2282.945251245593	54
